comment_text,argument_text,label
"Whether or not under God was initially meant to mean the Christian God or not, it should not be considered offensive. Though I have grown up in a Christian household, the pledge has never been more to me about God than it is about my allegiance to the State. The phrase 'under God' should not be taken as more than a simple 'common good.' Despite what is heard from radicals and extremists about God's wrath, the majority of world consensus that has any understanding of the word 'God' from the Christian sense is that God is commonly good and supports that which is for the common good of society. So to me as a Christian, the phrase 'under God' is a poetic way of stating 'for the common good.'",Separation of state and religion,1
"It does not reflect my beliefs, no many peoples beliefs.  It supports only a theistic god, but perhaps I believe in Buddah or others?  Thus this is also unconstitutional.",Separation of state and religion,1
"As pluralistic nation, there are a large number of different gods.  Who is to say is The God.  Or there may not even be a god of any kind.  As atheists and many agnostics say there is no justification to believe there is one or many gods.  The phrase under God does not reflect the idea of one nation, it reflects the coercion of one religion to impose their beliefs on all, that is immoral.",Likely to be seen as a state-sanctioned condemnation of religion,1
"As pluralistic nation, there are a large number of different gods.  Who is to say is The God.  Or there may not even be a god of any kind.  As atheists and many agnostics say there is no justification to believe there is one or many gods.  The phrase under God does not reflect the idea of one nation, it reflects the coercion of one religion to impose their beliefs on all, that is immoral.",Separation of state and religion,1
"The phrase under God should not be incorporated into the Pledge of Allegiance. This country was not founded upon Christianity, as many people conceitedly think. This nation was founded upon freedom, or the pursuit of such. The First Amendment directly prohibits the government from upholding a specific religion. Doesn't the phrase under God imply to someone that our country is Christian? Wouldn't that make us a body of hypocrites? Besides, what happened to the phrase majority rules, minority rights? Yes, there are lots of Christians in this country. Yes, their religion does fuel some of their actions. But that does not mean that the rest of us - Hindus, homosexuals, non-religious individuals - do not exist anymore. We're still here, and we still have rights.",Likely to be seen as a state-sanctioned condemnation of religion,1
"The phrase under God should not be incorporated into the Pledge of Allegiance. This country was not founded upon Christianity, as many people conceitedly think. This nation was founded upon freedom, or the pursuit of such. The First Amendment directly prohibits the government from upholding a specific religion. Doesn't the phrase under God imply to someone that our country is Christian? Wouldn't that make us a body of hypocrites? Besides, what happened to the phrase majority rules, minority rights? Yes, there are lots of Christians in this country. Yes, their religion does fuel some of their actions. But that does not mean that the rest of us - Hindus, homosexuals, non-religious individuals - do not exist anymore. We're still here, and we still have rights.",Removing under god would promote religious tolerance,1
"The phrase under God should not be incorporated into the Pledge of Allegiance. This country was not founded upon Christianity, as many people conceitedly think. This nation was founded upon freedom, or the pursuit of such. The First Amendment directly prohibits the government from upholding a specific religion. Doesn't the phrase under God imply to someone that our country is Christian? Wouldn't that make us a body of hypocrites? Besides, what happened to the phrase majority rules, minority rights? Yes, there are lots of Christians in this country. Yes, their religion does fuel some of their actions. But that does not mean that the rest of us - Hindus, homosexuals, non-religious individuals - do not exist anymore. We're still here, and we still have rights.",Separation of state and religion,1
"The word God evokes lots of emotions and is interpreted differently by different people. It has a reference to religion/church to many, and there is separation of church and state in our country. This violates that. I don't see why it's needed, and it just caused division.",Likely to be seen as a state-sanctioned condemnation of religion,1
"The word God evokes lots of emotions and is interpreted differently by different people. It has a reference to religion/church to many, and there is separation of church and state in our country. This violates that. I don't see why it's needed, and it just caused division.",Separation of state and religion,1
"This is what is wrong with America today. We are so worried about because we say Merry Christmas or under God in the Pledge that it automatically means that were attacking every non believer. Last time i checked america was unified because of everyones differences, because we could set aside those differences and take a stand on what TRULY matters. Guess IM WRONG! so so sad to know that america has become so materialistic and brainwashed by all the so called individualism that we forgot how to stand TOGETHER. I believe this is the most the country has been seperated since the Civil War. So So sad.",Likely to be seen as a state-sanctioned condemnation of religion,1
No. The first amendment clearly states Congress shall make no law respecting an establishment of religion So constitutionally no. And morally no! We were fonded on freedom of religion and the only reason this was enacted was to brainwash children of other religions into becoming christians.,Likely to be seen as a state-sanctioned condemnation of religion,1
No. The first amendment clearly states Congress shall make no law respecting an establishment of religion So constitutionally no. And morally no! We were founded on freedom of religion and the only reason this was enacted was to brainwash children of other religions into becoming christians.,Separation of state and religion,1
"The Pledge of Allegiance, in its current form, is a throwback to the days of the Cold War and the ideological fight against the godless Soviet Union.  Even though I wasn't around for the Cold War, I understand why under God was added, mostly to say This is America, not the Soviet Union!  We're better because we believe in God!  Similar reasoning applies for making the national motto In God We Trust.  What, exactly, does people trusting in God say about the US as a country?  Looking at it from a secular point of view, I think that's an inferior motto to E Pluribus Unum, which sums up this country perfectly.  Lots of people don't believe in the Judeo-Christian deity, and not just the nonreligious.  Is the government calling all of those people unpatriotic?  The answer is definitely yes.  Here's a simple test:  Try replacing it with under Allah or under Vishnu.  Think that's any different?  It's not.  Same message, just aimed at different groups.  From the Bible Belt, here's a vote to get under God out of the Pledge, and for E Pluribus Unum as the motto.",Likely to be seen as a state-sanctioned condemnation of religion,1
"The Pledge of Allegiance, in its current form, is a throwback to the days of the Cold War and the ideological fight against the godless Soviet Union.  Even though I wasn't around for the Cold War, I understand why under God was added, mostly to say This is America, not the Soviet Union!  We're better because we believe in God!  Similar reasoning applies for making the national motto In God We Trust.  What, exactly, does people trusting in God say about the US as a country?  Looking at it from a secular point of view, I think that's an inferior motto to E Pluribus Unum, which sums up this country perfectly.  Lots of people don't believe in the Judeo-Christian deity, and not just the nonreligious.  Is the government calling all of those people unpatriotic?  The answer is definitely yes.  Here's a simple test:  Try replacing it with under Allah or under Vishnu.  Think that's any different?  It's not.  Same message, just aimed at different groups.  From the Bible Belt, here's a vote to get under God out of the Pledge, and for E Pluribus Unum as the motto.",Removing under God would promote religious tolerance,1
"The Pledge of Allegiance, in its current form, is a throwback to the days of the Cold War and the ideological fight against the godless Soviet Union.  Even though I wasn't around for the Cold War, I understand why under God was added, mostly to say This is America, not the Soviet Union!  We're better because we believe in God!  Similar reasoning applies for making the national motto In God We Trust.  What, exactly, does people trusting in God say about the US as a country?  Looking at it from a secular point of view, I think that's an inferior motto to E Pluribus Unum, which sums up this country perfectly.  Lots of people don't believe in the Judeo-Christian deity, and not just the nonreligious.  Is the government calling all of those people unpatriotic?  The answer is definitely yes.  Here's a simple test:  Try replacing it with under Allah or under Vishnu.  Think that's any different?  It's not.  Same message, just aimed at different groups.  From the Bible Belt, here's a vote to get under God out of the Pledge, and for E Pluribus Unum as the motto.",Separation of state and religion,1
"This country was founded upon principles of free conscience. Citizens of the United States have the full right to support whichever philosophies they desire, even if these philosophies espouse atheism. It is not our character as a nation to corner others in proclaiming a belief in a deity they do not support. Patriotism and deism are not related affections, and it is the right of no one to suddenly interweave the two.",Likely to be seen as a state-sanctioned condemnation of religion,1
"This country was founded upon principles of free conscience. Citizens of the United States have the full right to support whichever philosophies they desire, even if these philosophies espouse atheism. It is not our character as a nation to corner others in proclaiming a belief in a deity they do not support. Patriotism and deism are not related affections, and it is the right of no one to suddenly interweave the two.",Removing under god would promote religious tolerance,1
"This country was founded upon principles of free conscience. Citizens of the United States have the full right to support whichever philosophies they desire, even if these philosophies espouse atheism. It is not our character as a nation to corner others in proclaiming a belief in a deity they do not support. Patriotism and deism are not related affections, and it is the right of no one to suddenly interweave the two.",Separation of state and religion,1
"It was God who brought forth the nation and will preserve us a nation. If our coins, dollar bills, and license plates say under God, our pledge of allegiance should too.",Under God is part of American tradition and history,1
"of course it should stay, we built this nation in the sight of god and christianity, just because we include under god, in the pledge doesnt mean the government is trying to push religion on people, they created the pledge and hasnt been an issue until people became somehow sensititve, it is not big deal that they include it.",Under God is part of American tradition and history,1
our nation is not a Christian nation as many of the pros have stated we are a diverse nation with multiple religions who practice Judaism Islamic buddism and Hinduism.we even have people here who believe there is no god at all.if the us declared itself a Christian nation we would alienate multiple different cultures existing in the us. we would imply that every in the Christian bible represents the beliefs of our entire nation.the problem that people are having with the under god part of the pledge isn't really the words in it but the potiental future those words could lead us to.it never even specifies in the pledge which god they are talking about the pros are just implying its the Christian god.I could name a million different gods if you asked me.the words really should be removed.it just allows religion to weed its way around the legal issue of church and state further.any implication of religion including in the pledge should be removed. it just creates to many assumptions and prevents us from not imposing our beliefs on others.we need to accept that not everyone is Christian and not everyone believes in god.im an atheist but im not any less moral.i think as a society we can move away from religion in legal issues.,Likely to be seen as a state-sanctioned condemnation of religion,1
our nation is not a Christian nation as many of the pros have stated we are a diverse nation with multiple religions who practice Judaism Islamic buddism and Hinduism.we even have people here who believe there is no god at all.if the us declared itself a Christian nation we would alienate multiple different cultures existing in the us. we would imply that every in the Christian bible represents the beliefs of our entire nation.the problem that people are having with the under god part of the pledge isn't really the words in it but the potiental future those words could lead us to.it never even specifies in the pledge which god they are talking about the pros are just implying its the Christian god.I could name a million different gods if you asked me.the words really should be removed.it just allows religion to weed its way around the legal issue of church and state further.any implication of religion including in the pledge should be removed. it just creates to many assumptions and prevents us from not imposing our beliefs on others.we need to accept that not everyone is Christian and not everyone believes in god.im an atheist but im not any less moral.i think as a society we can move away from religion in legal issues.,Removing under god would promote religious tolerance,1
our nation is not a Christian nation as many of the pros have stated we are a diverse nation with multiple religions who practice Judaism Islamic buddism and Hinduism.we even have people here who believe there is no god at all.if the us declared itself a Christian nation we would alienate multiple different cultures existing in the us. we would imply that every in the Christian bible represents the beliefs of our entire nation.the problem that people are having with the under god part of the pledge isn't really the words in it but the potiental future those words could lead us to.it never even specifies in the pledge which god they are talking about the pros are just implying its the Christian god.I could name a million different gods if you asked me.the words really should be removed.it just allows religion to weed its way around the legal issue of church and state further.any implication of religion including in the pledge should be removed. it just creates to many assumptions and prevents us from not imposing our beliefs on others.we need to accept that not everyone is Christian and not everyone believes in god.im an atheist but im not any less moral.i think as a society we can move away from religion in legal issues.,Separation of state and religion,1
"Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof;  The idea of a single God is opposed to ideas of polytheistic religions and those who have no belief in a creator. Although the pledge not mandatory but is a law under the Flag Code, the phrase under God praises the ideas of some the religions that are set with the idea of a single God.",Separation of state and religion,1
Shouldn't it be a pledge that ALL U.S. citizens are comfortable saying?  Doesn't the pledge appear flawed and leave a bitter taste in the mouths of Atheists?  Would it be all that different if it said under a Protestant God? A pledge should unite not alienate it's people.,Separation of state and religion,1
"For me say under God affirms that we are under God's domain, but not in some oppressive way. He has given us the freedom to be free to praise him and show kindness and love to one another. Separation of church and state just means that the government will not restrict us on our religious beliefs.  I do see the point of view that requiring God to be used in such a way takes away meaning and glory to his name, but it does recognize that he is in charge. For those of us who choose to serve him, it is just more affirming.",Separation of state and religion,1
"As a general proposition, government should be God neutral.  Given the history and tradition of religion in our country AND the difficulty in making a change, I would not waste the political capital to get it done.",Under God is part of American tradition and history,1
"As a general proposition, government should be God neutral.  Given the history and tradition of religion in our country AND the difficulty in making a change, I would not waste the political capital to get it done.",Separation of state and religion,1
"Well, i think that no religious statement should be included in the Pledge of Allegiance. When people refer to any religion, they should be in the situation in which they respect and follow that specific God or Goddess (whichever, one or more) and remain in the boundaries of supporting the land in which they created. If, for example, the U.S is considered a religious country, then if they speak about God, they should consider thinking about what God does for his people, not only what he chooses for being wishy-washy. He can't prohibit something the U.S for being different or because something looks bad or inappropriate as some might say. You can't talk about a specific religion unless you truly understand it, it's not logic for anyone to think like that.",Separation of state and religion,1
"Instead of taking out 'under god,' ADD, 'or not' which gives us 'UNDER GOD OR NOT.' This way their god is in The Pledge so they can't complain of discrimination, we atheists are in there, and children are being taught about choice of belief, inclusion, and tolerance! \\n\\n'I pledge allegiance to the Flag of the United States of America and to the Republic for which it stands, one nation under God or not, indivisible, with liberty and justice for all.'",Removing under god would promote religious tolerance,1
i  am a high school student and they still make us say the pledge.. i am atheist and i feel that just because my founding fathers believed in god and changed the pledge for their beliefs why should say it when its their beliefs and not mine.. i suggest that they should just change it back,Separation of state and religion,1
"I believe that since this country was founded under God why should we take that out of the pledge? Men and women have fought and gave their lives for this country, so that way we can have freedom and be able to have God in our lives. And since this country was founded under God and the Ten Commandments in mind, it needs to stay in. If it offends you well I am sorry but get out of this country!",Under God is part of American tradition and history,1
The words under god should be in the pledge of alligence because this nation was bulit with gods help and his blessing. because if god did not want the U.S.A to win all of the warss that they have won we wouldnt have.,Under God is part of American tradition and history,1
"I am high school atheist and this under god in the pledge has always been a negative thing for me. People tend to judge atheists and by omitting that it shows that I am a atheist and jugged. Congress shall make no law holding one religion over another, this clearly favors the christian god over a atheists idea or a muslim deity.Even though the pledge doesn't specify which God America is under, it still discriminates against Atheists. We have a separation of Church and State. The words Under God were not even part of the original pledge and were added in the 50's due an unfounded fear of Communism. No child should be indoctrinated into believing in a God by a State run school.",Likely to be seen as a state-sanctioned condemnation of religion,1
"I am high school atheist and this under god in the pledge has always been a negative thing for me. People tend to judge atheists and by omitting that it shows that I am a atheist and jugged. Congress shall make no law holding one religion over another, this clearly favors the christian god over a atheists idea or a muslim deity.Even though the pledge doesn't specify which God America is under, it still discriminates against Atheists. We have a separation of Church and State. The words Under God were not even part of the original pledge and were added in the 50's due an unfounded fear of Communism. No child should be indoctrinated into believing in a God by a State run school.",Separation of state and religion,1
"I am CON because the statement Under God was only put into the pledge because the US is deemed a christian nation. This is untrue. Just because our country has a high rate of christians doesnt mean we are a 'christian nation'. The US has a significant amount of people who arent religious, and that amount is only growing. I think its wrong to have this saying in the pledge because we shouldnt speak for every person in the country. Also we have a separation of church and state for a reason.",Likely to be seen as a state-sanctioned condemnation of religion,1
"I am CON because the statement Under God was only put into the pledge because the US is deemed a christian nation. This is untrue. Just because our country has a high rate of christians doesnt mean we are a 'christian nation'. The US has a significant amount of people who arent religious, and that amount is only growing. I think its wrong to have this saying in the pledge because we shouldnt speak for every person in the country. Also we have a separation of church and state for a reason.",Separation of state and religion,1
"The religious proponents who are invoking the founding fathers are gravely misinformed about the ideals and beliefs that shaped our country. Before you claim to know the their intentions, please learn more about Jefferson, Franklin,  Paine.  Read their essays (you might be surprised how relevant their work still is - not to mention beautifully written).  Indeed, most of our founding fathers claimed membership in one sect of Christianity or another. But how does that help your argument?  If they wanted to establish a theocracy, they would have done so.  Instead, they insisted upon a wall of separation between church and state.   In every country and every age, the priest has been hostile to liberty. He is always in alliance with the despot...they have perverted the purest religion ever preached to man into mystery and jargon, unintelligible to all mankind, and therefore the safer for their purposes. -Jefferson  Note the purest religion, yet still insisted against its influence in gov.  As an (for lack of better word  brevity) athiest, how am I to feel when confronted with the choice of reciting that which I do not believe or remaining silent? Why exclude millions of Americans? I suspect you simply do not want us - your loss.",Removing under god would promote religious tolerance,1
"The religious proponents who are invoking the founding fathers are gravely misinformed about the ideals and beliefs that shaped our country. Before you claim to know the their intentions, please learn more about Jefferson, Franklin,  Paine.  Read their essays (you might be surprised how relevant their work still is - not to mention beautifully written).  Indeed, most of our founding fathers claimed membership in one sect of Christianity or another. But how does that help your argument?  If they wanted to establish a theocracy, they would have done so.  Instead, they insisted upon a wall of separation between church and state.   In every country and every age, the priest has been hostile to liberty. He is always in alliance with the despot...they have perverted the purest religion ever preached to man into mystery and jargon, unintelligible to all mankind, and therefore the safer for their purposes. -Jefferson  Note the purest religion, yet still insisted against its influence in gov.  As an (for lack of better word  brevity) athiest, how am I to feel when confronted with the choice of reciting that which I do not believe or remaining silent? Why exclude millions of Americans? I suspect you simply do not want us - your loss.",Separation of state and religion,1
"the separation between church and state keeps america from becoming like one of those crazy theocracies (such as in the middle east, like Iran) As such it would be best if the under God is removed.",Separation of state and religion,1
"This nation was founded on the basis of secularism. That was the intention of the Founding Fathers. Ever since, some zealous religious folks have tried to impose their agenda on others.  The insertion of under god into the US Pledge of Allegiance is such an example of their success in damaging this nation's moral integrity.  The US Pledge of Allegiance should not require citizens to accept Bronze-age mythology. The pledge should be, I pledge allegiance to the republic of the United States of America, one nation indivisible with liberty and justice for all. The pledge is not to a flag; it is to the republic. -- Howard Schulsinger (aka, Austin)",Likely to be seen as a state-sanctioned condemnation of religion,1
"I was in elementary school when under god was added to the pledge. I never added to my recitation of the pledge. This nation was founded on the basis of secularism. That was the intention of the Founding Fathers. Ever since, some zealous religious folks have tried to impose their agenda on others.  The insertion of under god into the US Pledge of Allegiance is such an example of their success in damaging this nation's moral integrity.  The US Pledge of Allegiance should not require citizens to accept Bronze-age mythology. The pledge should be, I pledge allegiance to the republic of the United States of America, one nation indivisible with liberty and justice for all. The pledge is not to a flag; it is to the republic. -- Howard Schulsinger (aka, Austin)&lt;br&gt;&lt;br&gt;...I contemplate with sovereign reverence that act of the whole American people which declared that their legislature should make no law respecting an establishment of religion, or prohibiting the free exercise thereof,  thus building a wall of separation between Church &amp; State. -- Thomas Jefferson &lt;br&gt;&lt;br&gt;Build up that wall. -- Christopher Hitchens",Separation of state and religion,1
It is disgusting that people argue for this. You are wrong when you say our country was based on Christianity and the ten commandments. You are wrong when you say the founding fathers wanted it to be this way. When you argue that Under God should stay in the pledge you are arguing in defense of religious indoctrination and theocratic values.,Likely to be seen as a state-sanctioned condemnation of religion,1
It is disgusting that people argue for this. You are wrong when you say our country was based on Christianity and the ten commandments. You are wrong when you say the founding fathers wanted it to be this way. When you argue that Under God should stay in the pledge you are arguing in defense of religious indoctrination and theocratic values.,Separation of state and religion,1
"Why is it always the minority that we must conform to and please? If 80% or more support the phrase under God and 20% or less do not, why should we get rid of it? God is the foundation of this country and the Pledge is a way to remind us all of that. If you dislike it so strongly, then either don't say it or move to another country where they do not say it.  Majority rules.","The principles of democracy regulate that the wishes of American Christians, who are a majority, are honored",1
"Why is it always the minority that we must conform to and please? If 80% or more support the phrase under God and 20% or less do not, why should we get rid of it? God is the foundation of this country and the Pledge is a way to remind us all of that. If you dislike it so strongly, then either don't say it or move to another country where they do not say it.  Majority rules.",Under God is part of American tradition and history,1
"The founding fathers based the constitution on the fact that God made all and that he is our leader, why should we take that away  over two words that thousands of people say everyday without thinking twice about saying the words Under God",Under God is part of American tradition and history,1
As originally witten the phrase under god was not even added.nnso we should stick with the original form.nIt being said in public schools and sometimes event he workplace is forcing our kids and neighbors to say something they may not be comfortable with.nI am an Atheist and always has been.nI remember not saying that phrase and being punished by my teacher for not following directions and being defiant even though i was only doing what was more comfortable for me.,Separation of state and religion,1
it should stay in because it's part of our pledge it's there it's final get over it so what if your not christian you don't have to worship god but it states that this country was founded by christian who thought god watched over them,Under God is part of American tradition and history,1
"Just for whom does the flag wave anyway? The official pledge to it marginalizes many if not most with the 1954 addition of, One nation under God. When taking the enlistment oath, upon entry to the U.S. military we vets swore to defend the Constitution of the United States, not it's banner. As the 1st Amendment states, Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof;. Clearly the Constitution insures primarily freedom from religion and only secondarily freedom of religion.",Likely to be seen as a state-sanctioned condemnation of religion,1
"Just for whom does the flag wave anyway? The official pledge to it marginalizes many if not most with the 1954 addition of, One nation under God. When taking the enlistment oath, upon entry to the U.S. military we vets swore to defend the Constitution of the United States, not it's banner. As the 1st Amendment states, Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof;. Clearly the Constitution insures primarily freedom from religion and only secondarily freedom of religion.",Separation of state and religion,1
"The original anthem did not have the phrase Under God within it. That was something that was added during the Cold War as a way for us to attempt to differentiate us from 'Godless heathens'. As well, the US Constitution states that our Country and Government are to be separate from any and all religions. Therefor, the current existence of the phrase Under God is something that is closer being against our nation's ideals than keeping it, it's just never been changed because a lot of people don't understand why some people want it removed. Also, it's not 'Our' flag, it's the flag of any and all American citizens, not just the ones who happen to believe in the existence of your God or any God for that matter. I believe it should be removed because it was added erroneously in the first place and furthers the misnomer other progressive countries have that we're a backwards and ignorant gathering of bigots and idiots",Likely to be seen as a state-sanctioned condemnation of religion,1
"The original anthem did not have the phrase Under God within it. That was something that was added during the Cold War as a way for us to attempt to differentiate us from 'Godless heathens'. As well, the US Constitution states that our Country and Government are to be separate from any and all religions. Therefor, the current existence of the phrase Under God is something that is closer being against our nation's ideals than keeping it, it's just never been changed because a lot of people don't understand why some people want it removed. Also, it's not 'Our' flag, it's the flag of any and all American citizens, not just the ones who happen to believe in the existence of your God or any God for that matter. I believe it should be removed because it was added erroneously in the first place and furthers the misnomer other progressive countries have that we're a backwards and ignorant gathering of bigots and idiots",Separation of state and religion,1
"No, the words under God should not be included in the US Pledge of Allegiance because they are completely unnecessary and cause far too much contreversy for what they are worth. The pledge went without conflict until the 1950's, when a Catholic interest group convinced the President to add the words. It was only once the words were added that it became a problem. Then, the recitation of the pledge became wrong for many citizens as it was now more of a prayer, both to a monotheistic God and another idol which is banned in Judaism. Thus, more and more kids are being pressured into saying things that conflict with their religion in school because by not doing so, they are thought to be unpatriotic. This may seem like a pretty stupid analogy, but personally I think it explains the concept very well. This whole debate is like sandwiches and mayonaise. Some people may be allergic to Mayo. Some people may really enjoy aMayo on their sandwich. But the people who like the Mayo are able to eat the sandwitch without, while people who are allergic CAN'T eat the Mayo. This is like the under god debate because religious people can say the pledge without, but atheists or other conflictiong interests can't say the phrase. It should be removed",Separation of state and religion,1
"'God' is not an irrefutable fact; it is a personal belief, a byproduct of religion which this country was founded on the freedom of, for, or none at all.  There is no proof of gods existence and religion and state MUST be separate in order for all US citizens to be included. Taking the phrase out would do absolutely no harm to any religion or practicing religious people in this country, but it would include every citizen without anyone or any belief system being disregarded, disrespected or left out.  That is why i feel it must be omitted from the pledge.",Removing under god would promote religious tolerance,1
"God' is not an irrefutable fact; it is a personal belief, a byproduct of religion which this country was founded on the freedom of, for, or none at all.  There is no proof of gods existence and religion and state MUST be separate in order for all US citizens to be included. Taking the phrase out would do absolutely no harm to any religion or practicing religious people in this country, but it would include every citizen without anyone or any belief system being disregarded, disrespected or left out.  That is why i feel it must be omitted from the pledge.",Separation of state and religion,1
"The first amendment makes this very clear and all the political wishy-washy squirming around in the world isn't going to change the fact that it was pushed through a communist and MaCarthy terrified congress by Christians who saw an opportunity to exploit that weakness.  I read all these statements about how it isn't a religious statement, blah blah blah.  So really God is not a religious statement?  I wonder who they think they are kidding with that!  The simple fact is the religious Christian majority got their way against everything this nation stands for and is founded on and no one in government or in the courts has the guts to stand up for what's right and fix it.  Why? Because they are scared for their positions in government.  So here we sit a nation with an awesome document set in place to provide protections for all American citizens with a law that discriminates against non Christian citizens.  How is that right?  It makes our stand as a nation of freedoms a worldwide giggling session,  oh, you mean America, the land of religious freedom where you have to, by law swear an oath to the Christian god? someone has to explain to me how that is religious freedom.",Likely to be seen as a state-sanctioned condemnation of religion,1
"The first amendment makes this very clear and all the political wishy-washy squirming around in the world isn't going to change the fact that it was pushed through a communist and MaCarthy terrified congress by Christians who saw an opportunity to exploit that weakness.  I read all these statements about how it isn't a religious statement, blah blah blah.  So really God is not a religious statement?  I wonder who they think they are kidding with that!  The simple fact is the religious Christian majority got their way against everything this nation stands for and is founded on and no one in government or in the courts has the guts to stand up for what's right and fix it.  Why? Because they are scared for their positions in government.  So here we sit a nation with an awesome document set in place to provide protections for all American citizens with a law that discriminates against non Christian citizens.  How is that right?  It makes our stand as a nation of freedoms a worldwide giggling session,  oh, you mean America, the land of religious freedom where you have to, by law swear an oath to the Christian god? someone has to explain to me how that is religious freedom.","The principles of democracy regulate that the wishes of American Christians, who are a majority, are honored",1
"The first amendment makes this very clear and all the political wishy-washy squirming around in the world isn't going to change the fact that it was pushed through a communist and MaCarthy terrified congress by Christians who saw an opportunity to exploit that weakness.  I read all these statements about how it isn't a religious statement, blah blah blah.  So really God is not a religious statement?  I wonder who they think they are kidding with that!  The simple fact is the religious Christian majority got their way against everything this nation stands for and is founded on and no one in government or in the courts has the guts to stand up for what's right and fix it.  Why? Because they are scared for their positions in government.  So here we sit a nation with an awesome document set in place to provide protections for all American citizens with a law that discriminates against non Christian citizens.  How is that right?  It makes our stand as a nation of freedoms a worldwide giggling session,  oh, you mean America, the land of religious freedom where you have to, by law swear an oath to the Christian god? someone has to explain to me how that is religious freedom.",Separation of state and religion,1
"This is controversial when it shouldn't be. Under God simply refers to the founding fathers principles for which the nation was founded. You can remove it, but that doesn't change the fact that it was founded with that in mind. If I recite the pledge, the Under God part is not reflectant on my own personal religious beliefs. Its a pledge to my country with an acknowledgement that it was founded Under God..... not by me, but our founding fathers. out of respect for those who it did matter to when the country was founded, and out of respect and love for the history of my country, I see no reason why it should be removed.",Under God is part of American tradition and history,1
"By U.S constitution the U.S. citizen is entitled to both freedom of religion and freedom from it. Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereofÃ¢Â€Â¦.   What the make no law respecting an establishment of religion is saying that citizens have the freedom from religion. Also congress passed extensions to and the very means of being the pledge to what we know today. Because of these undeniable issues if tomorrow a citizen is feeling oppressed by the words under god in the pledge and it is taken to the supreme court inevitably they will have to take it out  if shown proper proof that it is oppressing the religion of a citizen. It is not what is right and wrong it is what is correct in the way of the constitution. once people chip away at the foundation of the constitution the damage will last forever.",Separation of state and religion,1
"No, because this country has a sepration of church and state, and it violates the rights of the people who are of a religion that doesn't worship god, or for agnostic, Atheists, and freethinkers into conforming to ways that they can't comply to, and shouldn't have to, because people tell them to. Speaking as an Atheist, I say that people shouldn't put that in, because it is imposing a point of view that I shouldn't have to be forced to believe in. After all, isn't that the reason the pilgrims escaped from England? It is also imposing religion, which is wrong.",Likely to be seen as a state-sanctioned condemnation of religion,1
"No, because this country has a separation of church and state, and it violates the rights of the people who are of a religion that doesn't worship god, or for agnostic, Atheists, and freethinkers into conforming to ways that they can't comply to, and shouldn't have to, because people tell them to. Speaking as an Atheist, I say that people shouldn't put that in, because it is imposing a point of view that I shouldn't have to be forced to believe in. After all, isn't that the reason the pilgrims escaped from England? It is also imposing religion, which is wrong.",Separation of state and religion,1
I am atheist myself yet think under god should stay in our Pledge of Allegiance because if it wasn't for God the United States might not exist. Because of protestant religions the United States exists today,Under God is part of American tradition and history,1
yes because the united states was found under the christian religion,Under God is part of American tradition and history,1
"It is offensive to those who don't believe in god. There are many people who believe in no god or different types of gods. The founding fathers specifically made a godless constitution and keeping god out of government it essential. Religion has a habit of incorporating cult activities and hatred for others outside their click. I also believe it was in 1948 that Louis bowman inserted, under God And then Eisenhower made it official in 1954. If I am not mistaken it was in response to the perceived threat of communism. The Christian Reich is constantly trying to state that the us was founded on their principles when it was not. In fact, the Christian clergy was dead set against Thomas Jefferson because of his views and statements on Christians. I think it was Thomas Paine who people called the father of the American revolution? Until he wrote a book on his beliefs of deism criticizing Christians. I believe it was called age of reason. Anyway after that Christians in their usual clickish way ostracized him and he died as an outcast. He was an extremely brilliant man. Just goes to show you why so many free thinkers crafted the constitution",Likely to be seen as a state-sanctioned condemnation of religion,1
"It is offensive to those who don't believe in god. There are many people who believe in no god or different types of gods. The founding fathers specifically made a godless constitution and keeping god out of government it essential. Religion has a habit of incorporating cult activities and hatred for others outside their click. I also believe it was in 1948 that Louis bowman inserted, under God And then Eisenhower made it official in 1954. If I am not mistaken it was in response to the perceived threat of communism. The Christian Reich is constantly trying to state that the us was founded on their principles when it was not. In fact, the Christian clergy was dead set against Thomas Jefferson because of his views and statements on Christians. I think it was Thomas Paine who people called the father of the American revolution? Until he wrote a book on his beliefs of deism criticizing Christians. I believe it was called age of reason. Anyway after that Christians in their usual clickish way ostracized him and he died as an outcast. He was an extremely brilliant man. Just goes to show you why so many free thinkers crafted the constitution",Removing under god would promote religious tolerance,1
"It is offensive to those who don't believe in god. There are many people who believe in no god or different types of gods. The founding fathers specifically made a godless constitution and keeping god out of government it essential. Religion has a habit of incorporating cult activities and hatred for others outside their click. I also believe it was in 1948 that Louis bowman inserted, under God And then Eisenhower made it official in 1954. If I am not mistaken it was in response to the perceived threat of communism. The Christian Reich is constantly trying to state that the us was founded on their principles when it was not. In fact, the Christian clergy was dead set against Thomas Jefferson because of his views and statements on Christians. I think it was Thomas Paine who people called the father of the American revolution? Until he wrote a book on his beliefs of deism criticizing Christians. I believe it was called age of reason. Anyway after that Christians in their usual clickish way ostracized him and he died as an outcast. He was an extremely brilliant man. Just goes to show you why so many free thinkers crafted the constitution",Separation of state and religion,1
